"","Name","Area","FIPS","Sector","Year","POW"
"138","Alabama","Baldwin",1003,"Other Services",2007,1657
"139","Alabama","Clarke",1025,"Natural Resources and Mining",2001,444
"140","Alabama","Clarke",1025,"Construction",2001,388
"141","Alabama","Clarke",1025,"Manufacturing",2001,2036
"142","Alabama","Clarke",1025,"Trade~ Transportation~ and Utilities",2001,1972
"143","Alabama","Clarke",1025,"Information",2001,82
"144","Alabama","Clarke",1025,"Financial Activities",2001,401
"145","Alabama","Clarke",1025,"Professional and Business Services",2001,212
"146","Alabama","Clarke",1025,"Education and Health Services",2001,769
"147","Alabama","Clarke",1025,"Leisure and Hospitality",2001,545
"148","Alabama","Clarke",1025,"Other Services",2001,232
"149","Alabama","Clarke",1025,"Natural Resources and Mining",2002,396
"150","Alabama","Clarke",1025,"Construction",2002,427
"151","Alabama","Clarke",1025,"Manufacturing",2002,1999
"152","Alabama","Clarke",1025,"Trade~ Transportation~ and Utilities",2002,1952
"153","Alabama","Clarke",1025,"Information",2002,79
"154","Alabama","Clarke",1025,"Financial Activities",2002,382
"155","Alabama","Clarke",1025,"Professional and Business Services",2002,190
"156","Alabama","Clarke",1025,"Education and Health Services",2002,803
"157","Alabama","Clarke",1025,"Leisure and Hospitality",2002,602
"158","Alabama","Clarke",1025,"Other Services",2002,233
"159","Alabama","Clarke",1025,"Natural Resources and Mining",2003,367
"160","Alabama","Clarke",1025,"Construction",2003,303
"161","Alabama","Clarke",1025,"Manufacturing",2003,2103
"162","Alabama","Clarke",1025,"Trade~ Transportation~ and Utilities",2003,1949
"163","Alabama","Clarke",1025,"Information",2003,80
"164","Alabama","Clarke",1025,"Financial Activities",2003,404
"165","Alabama","Clarke",1025,"Professional and Business Services",2003,192
"166","Alabama","Clarke",1025,"Education and Health Services",2003,1014
"167","Alabama","Clarke",1025,"Leisure and Hospitality",2003,638
"168","Alabama","Clarke",1025,"Other Services",2003,203
"169","Alabama","Clarke",1025,"Natural Resources and Mining",2004,385
"170","Alabama","Clarke",1025,"Construction",2004,379
"171","Alabama","Clarke",1025,"Manufacturing",2004,1874
"172","Alabama","Clarke",1025,"Trade~ Transportation~ and Utilities",2004,1954
"173","Alabama","Clarke",1025,"Information",2004,84
"174","Alabama","Clarke",1025,"Financial Activities",2004,416
"175","Alabama","Clarke",1025,"Professional and Business Services",2004,203
"176","Alabama","Clarke",1025,"Education and Health Services",2004,1011
"177","Alabama","Clarke",1025,"Leisure and Hospitality",2004,598
"178","Alabama","Clarke",1025,"Other Services",2004,198
"179","Alabama","Clarke",1025,"Natural Resources and Mining",2005,373
"180","Alabama","Clarke",1025,"Construction",2005,315
"181","Alabama","Clarke",1025,"Manufacturing",2005,1783
"182","Alabama","Clarke",1025,"Trade~ Transportation~ and Utilities",2005,1998
"183","Alabama","Clarke",1025,"Information",2005,86
"184","Alabama","Clarke",1025,"Financial Activities",2005,421
"185","Alabama","Clarke",1025,"Professional and Business Services",2005,208
"186","Alabama","Clarke",1025,"Education and Health Services",2005,1038
"187","Alabama","Clarke",1025,"Leisure and Hospitality",2005,664
"188","Alabama","Clarke",1025,"Other Services",2005,188
"189","Alabama","Clarke",1025,"Natural Resources and Mining",2006,377
"190","Alabama","Clarke",1025,"Construction",2006,343
"191","Alabama","Clarke",1025,"Manufacturing",2006,1643
"192","Alabama","Clarke",1025,"Trade~ Transportation~ and Utilities",2006,1951
"193","Alabama","Clarke",1025,"Information",2006,73
"194","Alabama","Clarke",1025,"Financial Activities",2006,432
"195","Alabama","Clarke",1025,"Professional and Business Services",2006,204
"196","Alabama","Clarke",1025,"Education and Health Services",2006,1041
"197","Alabama","Clarke",1025,"Leisure and Hospitality",2006,617
"198","Alabama","Clarke",1025,"Other Services",2006,199
"199","Alabama","Clarke",1025,"Natural Resources and Mining",2007,358
"200","Alabama","Clarke",1025,"Construction",2007,342
"201","Alabama","Clarke",1025,"Manufacturing",2007,2287
"202","Alabama","Clarke",1025,"Trade~ Transportation~ and Utilities",2007,2011
"203","Alabama","Clarke",1025,"Information",2007,72
"204","Alabama","Clarke",1025,"Financial Activities",2007,434
"205","Alabama","Clarke",1025,"Professional and Business Services",2007,184
"206","Alabama","Clarke",1025,"Education and Health Services",2007,970
"207","Alabama","Clarke",1025,"Leisure and Hospitality",2007,595
"208","Alabama","Clarke",1025,"Other Services",2007,200
"209","Alabama","Mobile",1097,"Natural Resources and Mining",2001,1435
"210","Alabama","Mobile",1097,"Construction",2001,11152
"211","Alabama","Mobile",1097,"Manufacturing",2001,18807
"212","Alabama","Mobile",1097,"Trade~ Transportation~ and Utilities",2001,37291
"213","Alabama","Mobile",1097,"Information",2001,2733
"214","Alabama","Mobile",1097,"Financial Activities",2001,8665
"215","Alabama","Mobile",1097,"Professional and Business Services",2001,20119
"216","Alabama","Mobile",1097,"Education and Health Services",2001,19265
"217","Alabama","Mobile",1097,"Leisure and Hospitality",2001,13706
"218","Alabama","Mobile",1097,"Other Services",2001,6243
"219","Alabama","Mobile",1097,"Natural Resources and Mining",2002,1306
"220","Alabama","Mobile",1097,"Construction",2002,11248
"221","Alabama","Mobile",1097,"Manufacturing",2002,16830
"222","Alabama","Mobile",1097,"Trade~ Transportation~ and Utilities",2002,36506
"223","Alabama","Mobile",1097,"Information",2002,2527
"224","Alabama","Mobile",1097,"Financial Activities",2002,8614
"225","Alabama","Mobile",1097,"Professional and Business Services",2002,20579
"226","Alabama","Mobile",1097,"Education and Health Services",2002,19345
"227","Alabama","Mobile",1097,"Leisure and Hospitality",2002,13952
"228","Alabama","Mobile",1097,"Other Services",2002,6088
"229","Alabama","Mobile",1097,"Natural Resources and Mining",2003,1236
"230","Alabama","Mobile",1097,"Construction",2003,10410
"231","Alabama","Mobile",1097,"Manufacturing",2003,14806
"232","Alabama","Mobile",1097,"Trade~ Transportation~ and Utilities",2003,36749
"233","Alabama","Mobile",1097,"Information",2003,2328
"234","Alabama","Mobile",1097,"Financial Activities",2003,8818
"235","Alabama","Mobile",1097,"Professional and Business Services",2003,19864
"236","Alabama","Mobile",1097,"Education and Health Services",2003,19695
"237","Alabama","Mobile",1097,"Leisure and Hospitality",2003,14485
"238","Alabama","Mobile",1097,"Other Services",2003,5881
"239","Alabama","Mobile",1097,"Natural Resources and Mining",2004,1184
"240","Alabama","Mobile",1097,"Construction",2004,11335
"241","Alabama","Mobile",1097,"Manufacturing",2004,14583
"242","Alabama","Mobile",1097,"Trade~ Transportation~ and Utilities",2004,37130
"243","Alabama","Mobile",1097,"Information",2004,2435
"244","Alabama","Mobile",1097,"Financial Activities",2004,9494
"245","Alabama","Mobile",1097,"Professional and Business Services",2004,20563
"246","Alabama","Mobile",1097,"Education and Health Services",2004,20212
"247","Alabama","Mobile",1097,"Leisure and Hospitality",2004,14622
"248","Alabama","Mobile",1097,"Other Services",2004,5990
"249","Alabama","Mobile",1097,"Natural Resources and Mining",2005,1165
"250","Alabama","Mobile",1097,"Construction",2005,13760
"251","Alabama","Mobile",1097,"Manufacturing",2005,14140
"252","Alabama","Mobile",1097,"Trade~ Transportation~ and Utilities",2005,38323
"253","Alabama","Mobile",1097,"Information",2005,2471
"254","Alabama","Mobile",1097,"Financial Activities",2005,10259
"255","Alabama","Mobile",1097,"Professional and Business Services",2005,20784
"256","Alabama","Mobile",1097,"Education and Health Services",2005,20968
"257","Alabama","Mobile",1097,"Leisure and Hospitality",2005,15352
"258","Alabama","Mobile",1097,"Other Services",2005,5985
"259","Alabama","Mobile",1097,"Natural Resources and Mining",2006,1243
"260","Alabama","Mobile",1097,"Construction",2006,13580
"261","Alabama","Mobile",1097,"Manufacturing",2006,15371
"262","Alabama","Mobile",1097,"Trade~ Transportation~ and Utilities",2006,39204
"263","Alabama","Mobile",1097,"Information",2006,2624
"264","Alabama","Mobile",1097,"Financial Activities",2006,9113
"265","Alabama","Mobile",1097,"Professional and Business Services",2006,20482
"266","Alabama","Mobile",1097,"Education and Health Services",2006,21907
"267","Alabama","Mobile",1097,"Leisure and Hospitality",2006,15637
"268","Alabama","Mobile",1097,"Other Services",2006,6048
"269","Alabama","Mobile",1097,"Natural Resources and Mining",2007,1289
"270","Alabama","Mobile",1097,"Construction",2007,14042
"271","Alabama","Mobile",1097,"Manufacturing",2007,16419
"272","Alabama","Mobile",1097,"Trade~ Transportation~ and Utilities",2007,40737
"273","Alabama","Mobile",1097,"Information",2007,2403
"274","Alabama","Mobile",1097,"Financial Activities",2007,8827
"275","Alabama","Mobile",1097,"Professional and Business Services",2007,21441
"276","Alabama","Mobile",1097,"Education and Health Services",2007,22489
"277","Alabama","Mobile",1097,"Leisure and Hospitality",2007,15541
"278","Alabama","Mobile",1097,"Other Services",2007,5798
"279","Alabama","Monroe",1099,"Natural Resources and Mining",2001,305
"280","Alabama","Monroe",1099,"Construction",2001,105
"281","Alabama","Monroe",1099,"Manufacturing",2001,3145
"282","Alabama","Monroe",1099,"Trade~ Transportation~ and Utilities",2001,2136
"283","Alabama","Monroe",1099,"Information",2001,106
"284","Alabama","Monroe",1099,"Financial Activities",2001,195
"285","Alabama","Monroe",1099,"Professional and Business Services",2001,247
"286","Alabama","Monroe",1099,"Education and Health Services",2001,537
"287","Alabama","Monroe",1099,"Leisure and Hospitality",2001,517
"288","Alabama","Monroe",1099,"Other Services",2001,166
"289","Alabama","Monroe",1099,"Natural Resources and Mining",2002,279
"290","Alabama","Monroe",1099,"Construction",2002,89
"291","Alabama","Monroe",1099,"Manufacturing",2002,3007
"292","Alabama","Monroe",1099,"Trade~ Transportation~ and Utilities",2002,2075
"293","Alabama","Monroe",1099,"Information",2002,108
"294","Alabama","Monroe",1099,"Financial Activities",2002,197
"295","Alabama","Monroe",1099,"Professional and Business Services",2002,268
"296","Alabama","Monroe",1099,"Education and Health Services",2002,521
"297","Alabama","Monroe",1099,"Leisure and Hospitality",2002,380
"298","Alabama","Monroe",1099,"Other Services",2002,156
"299","Alabama","Monroe",1099,"Natural Resources and Mining",2003,296
"300","Alabama","Monroe",1099,"Construction",2003,107
"301","Alabama","Monroe",1099,"Manufacturing",2003,2960
"302","Alabama","Monroe",1099,"Trade~ Transportation~ and Utilities",2003,2018
"303","Alabama","Monroe",1099,"Information",2003,107
"304","Alabama","Monroe",1099,"Financial Activities",2003,234
"305","Alabama","Monroe",1099,"Professional and Business Services",2003,314
"306","Alabama","Monroe",1099,"Education and Health Services",2003,547
"307","Alabama","Monroe",1099,"Leisure and Hospitality",2003,373
"308","Alabama","Monroe",1099,"Other Services",2003,126
"309","Alabama","Monroe",1099,"Natural Resources and Mining",2004,309
"310","Alabama","Monroe",1099,"Construction",2004,90
"311","Alabama","Monroe",1099,"Manufacturing",2004,3533
"312","Alabama","Monroe",1099,"Trade~ Transportation~ and Utilities",2004,1829
"313","Alabama","Monroe",1099,"Information",2004,108
"314","Alabama","Monroe",1099,"Financial Activities",2004,229
"315","Alabama","Monroe",1099,"Professional and Business Services",2004,252
"316","Alabama","Monroe",1099,"Education and Health Services",2004,553
"317","Alabama","Monroe",1099,"Leisure and Hospitality",2004,391
"318","Alabama","Monroe",1099,"Other Services",2004,138
"319","Alabama","Monroe",1099,"Natural Resources and Mining",2005,342
"320","Alabama","Monroe",1099,"Construction",2005,111
"321","Alabama","Monroe",1099,"Manufacturing",2005,3367
"322","Alabama","Monroe",1099,"Trade~ Transportation~ and Utilities",2005,1826
"323","Alabama","Monroe",1099,"Information",2005,101
"324","Alabama","Monroe",1099,"Financial Activities",2005,239
"325","Alabama","Monroe",1099,"Professional and Business Services",2005,268
"326","Alabama","Monroe",1099,"Education and Health Services",2005,557
"327","Alabama","Monroe",1099,"Leisure and Hospitality",2005,436
"328","Alabama","Monroe",1099,"Other Services",2005,126
"329","Alabama","Monroe",1099,"Natural Resources and Mining",2006,337
"330","Alabama","Monroe",1099,"Construction",2006,103
"331","Alabama","Monroe",1099,"Manufacturing",2006,3061
"332","Alabama","Monroe",1099,"Trade~ Transportation~ and Utilities",2006,1781
"333","Alabama","Monroe",1099,"Information",2006,102
"334","Alabama","Monroe",1099,"Financial Activities",2006,233
"335","Alabama","Monroe",1099,"Professional and Business Services",2006,254
"336","Alabama","Monroe",1099,"Education and Health Services",2006,515
"337","Alabama","Monroe",1099,"Leisure and Hospitality",2006,471
"338","Alabama","Monroe",1099,"Other Services",2006,108
"339","Alabama","Monroe",1099,"Natural Resources and Mining",2007,294
"340","Alabama","Monroe",1099,"Construction",2007,112
"341","Alabama","Monroe",1099,"Manufacturing",2007,2912
"342","Alabama","Monroe",1099,"Trade~ Transportation~ and Utilities",2007,1767
"343","Alabama","Monroe",1099,"Information",2007,68
"344","Alabama","Monroe",1099,"Financial Activities",2007,239
"345","Alabama","Monroe",1099,"Professional and Business Services",2007,245
"346","Alabama","Monroe",1099,"Education and Health Services",2007,533
"347","Alabama","Monroe",1099,"Leisure and Hospitality",2007,464
"348","Alabama","Monroe",1099,"Other Services",2007,94
"349","Alabama","Washington",1129,"Professional and Business Services",2001,112
"350","Alabama","Washington",1129,"Education and Health Services",2001,97
"351","Alabama","Washington",1129,"Leisure and Hospitality",2001,49
"352","Alabama","Washington",1129,"Natural Resources and Mining",2001,272
"353","Alabama","Washington",1129,"Construction",2001,252
"354","Alabama","Washington",1129,"Manufacturing",2001,1607
"355","Alabama","Washington",1129,"Trade~ Transportation~ and Utilities",2001,587
"356","Alabama","Washington",1129,"Financial Activities",2001,127
"357","Louisiana","Washington",1129,"Natural Resources and Mining",2001,330
"358","Louisiana","Washington",1129,"Construction",2001,423
"359","Louisiana","Washington",1129,"Manufacturing",2001,1540
"360","Louisiana","Washington",1129,"Trade~ Transportation~ and Utilities",2001,2146
"361","Louisiana","Washington",1129,"Information",2001,147
"362","Louisiana","Washington",1129,"Financial Activities",2001,411
"363","Louisiana","Washington",1129,"Professional and Business Services",2001,571
"364","Louisiana","Washington",1129,"Education and Health Services",2001,1639
"365","Louisiana","Washington",1129,"Leisure and Hospitality",2001,670
"366","Louisiana","Washington",1129,"Other Services",2001,208
"367","Alabama","Washington",1129,"Professional and Business Services",2002,126
"368","Alabama","Washington",1129,"Education and Health Services",2002,93
"369","Alabama","Washington",1129,"Leisure and Hospitality",2002,37
"370","Alabama","Washington",1129,"Natural Resources and Mining",2002,260
"371","Alabama","Washington",1129,"Construction",2002,269
"372","Alabama","Washington",1129,"Manufacturing",2002,1394
"373","Alabama","Washington",1129,"Trade~ Transportation~ and Utilities",2002,563
"374","Alabama","Washington",1129,"Financial Activities",2002,89
"375","Louisiana","Washington",1129,"Natural Resources and Mining",2002,279
"376","Louisiana","Washington",1129,"Construction",2002,573
"377","Louisiana","Washington",1129,"Manufacturing",2002,1294
"378","Louisiana","Washington",1129,"Trade~ Transportation~ and Utilities",2002,2140
"379","Louisiana","Washington",1129,"Information",2002,141
"380","Louisiana","Washington",1129,"Financial Activities",2002,411
"381","Louisiana","Washington",1129,"Professional and Business Services",2002,768
"382","Louisiana","Washington",1129,"Education and Health Services",2002,1194
"383","Louisiana","Washington",1129,"Leisure and Hospitality",2002,685
"384","Louisiana","Washington",1129,"Other Services",2002,221
"385","Alabama","Washington",1129,"Professional and Business Services",2003,139
"386","Alabama","Washington",1129,"Education and Health Services",2003,78
"387","Alabama","Washington",1129,"Natural Resources and Mining",2003,292
"388","Alabama","Washington",1129,"Construction",2003,229
"389","Alabama","Washington",1129,"Manufacturing",2003,1351
"390","Alabama","Washington",1129,"Trade~ Transportation~ and Utilities",2003,612
"391","Alabama","Washington",1129,"Financial Activities",2003,86
"392","Louisiana","Washington",1129,"Natural Resources and Mining",2003,251
"393","Louisiana","Washington",1129,"Construction",2003,654
"394","Louisiana","Washington",1129,"Manufacturing",2003,1135
"395","Louisiana","Washington",1129,"Trade~ Transportation~ and Utilities",2003,2092
"396","Louisiana","Washington",1129,"Information",2003,140
"397","Louisiana","Washington",1129,"Financial Activities",2003,408
"398","Louisiana","Washington",1129,"Professional and Business Services",2003,624
"399","Louisiana","Washington",1129,"Education and Health Services",2003,1150
"400","Louisiana","Washington",1129,"Leisure and Hospitality",2003,684
"401","Louisiana","Washington",1129,"Other Services",2003,221
"402","Alabama","Washington",1129,"Professional and Business Services",2004,166
"403","Alabama","Washington",1129,"Education and Health Services",2004,71
"404","Alabama","Washington",1129,"Natural Resources and Mining",2004,329
"405","Alabama","Washington",1129,"Construction",2004,219
"406","Alabama","Washington",1129,"Manufacturing",2004,1256
"407","Alabama","Washington",1129,"Trade~ Transportation~ and Utilities",2004,618
"408","Alabama","Washington",1129,"Financial Activities",2004,85
"409","Louisiana","Washington",1129,"Natural Resources and Mining",2004,226
"410","Louisiana","Washington",1129,"Construction",2004,584
"411","Louisiana","Washington",1129,"Manufacturing",2004,1259
"412","Louisiana","Washington",1129,"Trade~ Transportation~ and Utilities",2004,2027
"413","Louisiana","Washington",1129,"Information",2004,120
"414","Louisiana","Washington",1129,"Financial Activities",2004,403
"415","Louisiana","Washington",1129,"Professional and Business Services",2004,439
"416","Louisiana","Washington",1129,"Education and Health Services",2004,1089
"417","Louisiana","Washington",1129,"Leisure and Hospitality",2004,688
"418","Louisiana","Washington",1129,"Other Services",2004,211
"419","Alabama","Washington",1129,"Professional and Business Services",2005,215
"420","Alabama","Washington",1129,"Education and Health Services",2005,92
"421","Alabama","Washington",1129,"Leisure and Hospitality",2005,44
"422","Alabama","Washington",1129,"Other Services",2005,35
"423","Alabama","Washington",1129,"Natural Resources and Mining",2005,285
"424","Alabama","Washington",1129,"Construction",2005,204
"425","Alabama","Washington",1129,"Manufacturing",2005,1404
"426","Alabama","Washington",1129,"Trade~ Transportation~ and Utilities",2005,639
"427","Alabama","Washington",1129,"Information",2005,41
"428","Alabama","Washington",1129,"Financial Activities",2005,83
"429","Louisiana","Washington",1129,"Natural Resources and Mining",2005,232
"430","Louisiana","Washington",1129,"Construction",2005,533
"431","Louisiana","Washington",1129,"Manufacturing",2005,1172
"432","Louisiana","Washington",1129,"Trade~ Transportation~ and Utilities",2005,1997
"433","Louisiana","Washington",1129,"Information",2005,104
"434","Louisiana","Washington",1129,"Financial Activities",2005,392
"435","Louisiana","Washington",1129,"Professional and Business Services",2005,489
"436","Louisiana","Washington",1129,"Education and Health Services",2005,1115
"437","Louisiana","Washington",1129,"Leisure and Hospitality",2005,638
"438","Louisiana","Washington",1129,"Other Services",2005,190
"439","Alabama","Washington",1129,"Professional and Business Services",2006,183
"440","Alabama","Washington",1129,"Education and Health Services",2006,101
"441","Alabama","Washington",1129,"Other Services",2006,43
"442","Alabama","Washington",1129,"Natural Resources and Mining",2006,285
"443","Alabama","Washington",1129,"Construction",2006,244
"444","Alabama","Washington",1129,"Manufacturing",2006,1314
"445","Alabama","Washington",1129,"Trade~ Transportation~ and Utilities",2006,639
"446","Alabama","Washington",1129,"Financial Activities",2006,91
"447","Louisiana","Washington",1129,"Natural Resources and Mining",2006,239
"448","Louisiana","Washington",1129,"Construction",2006,469
"449","Louisiana","Washington",1129,"Manufacturing",2006,1232
"450","Louisiana","Washington",1129,"Trade~ Transportation~ and Utilities",2006,2002
"451","Louisiana","Washington",1129,"Information",2006,96
"452","Louisiana","Washington",1129,"Financial Activities",2006,384
"453","Louisiana","Washington",1129,"Professional and Business Services",2006,488
"454","Louisiana","Washington",1129,"Education and Health Services",2006,1235
"455","Louisiana","Washington",1129,"Leisure and Hospitality",2006,660
"456","Louisiana","Washington",1129,"Other Services",2006,199
"457","Alabama","Washington",1129,"Professional and Business Services",2007,188
"458","Alabama","Washington",1129,"Education and Health Services",2007,94
