"","female","read","write","math","hon","femalexmath"
"122",1,50,52,46,0,46
"123",1,50,52,53,0,53
"124",1,47,46,52,0,52
"125",1,47,62,45,1,45
"126",1,55,57,56,0,56
"127",1,50,41,45,0,45
"128",1,39,53,54,0,54
"129",1,50,49,56,0,56
"130",1,34,35,41,0,41
"131",1,57,59,54,0,54
"132",1,57,65,72,1,72
"133",1,68,62,56,1,56
"134",1,42,54,47,0,47
"135",1,61,59,49,0,49
"136",1,76,63,60,1,60
"137",1,47,59,54,0,54
"138",1,46,52,55,0,55
"139",1,39,41,33,0,33
"140",1,52,49,49,0,49
"141",1,28,46,43,0,43
"142",1,42,54,50,0,50
"143",1,47,42,52,0,52
"144",1,47,57,48,0,48
"145",1,52,59,58,0,58
"146",1,47,52,43,0,43
"147",1,50,62,41,1,41
"148",1,44,52,43,0,43
"149",1,47,41,46,0,46
"150",1,45,55,44,0,44
"151",1,47,37,43,0,43
"152",1,65,54,61,0,61
"153",1,43,57,40,0,40
"154",1,47,54,49,0,49
"155",1,57,62,56,1,56
"156",1,68,59,61,0,61
"157",1,52,55,50,0,50
"158",1,42,57,51,0,51
"159",1,42,39,42,0,42
"160",1,66,67,67,1,67
"161",1,47,62,53,1,53
"162",1,57,50,50,0,50
"163",1,47,61,51,1,51
"164",1,57,62,72,1,72
"165",1,52,59,48,0,48
"166",1,44,44,40,0,40
"167",1,50,59,53,0,53
"168",1,39,54,39,0,39
"169",1,57,62,63,1,63
"170",1,57,60,51,0,51
"171",1,42,57,45,0,45
"172",1,47,46,39,0,39
"173",1,42,36,42,0,42
"174",1,60,59,62,0,62
"175",1,44,49,44,0,44
"176",1,63,60,65,0,65
"177",1,65,67,63,1,63
"178",1,39,54,54,0,54
"179",1,50,52,45,0,45
"180",1,52,65,60,1,60
"181",1,60,62,49,1,49
"182",1,44,49,48,0,48
"183",1,52,67,57,1,57
"184",1,55,65,55,1,55
"185",1,50,67,66,1,66
"186",1,65,65,64,1,64
"187",1,52,54,55,0,55
"188",1,47,44,42,0,42
"189",1,63,62,56,1,56
"190",1,50,46,53,0,53
"191",1,42,54,41,0,41
"192",1,36,57,42,0,42
"193",1,50,52,53,0,53
"194",1,41,59,42,0,42
"195",1,47,65,60,1,60
"196",1,55,59,52,0,52
"197",1,42,46,38,0,38
"198",1,57,41,57,0,57
"199",1,55,62,58,1,58
"200",1,63,65,65,1,65
